WEAHD-OAKE-NJNE,10.165.0.167,239.5.17.44
WEAHD-MATAM-GREENV,10.165.0.165,239.5.17.48
WEAHD-NOR-STAM,10.165.0.167,239.5.17.34
WEAHD-NYC,10.165.0.167,239.5.17.33
WEAHD-HAUP-RIVERH,10.165.0.163,239.5.17.32
WEAHD-MORRIS-OAK,10.165.0.165,239.5.17.47
WEAHD-LITCH,10.165.0.165,239.5.17.36
WEAHD-WOODBURY,10.165.0.163,239.5.17.30
WEAHD-HAMIL,10.165.0.161,239.5.17.49
WEAHD-BPORT-MILF,10.165.0.159,239.5.17.35
WEAHD-JACKSON,10.165.0.161,239.5.17.41
WEAHD-BROOKH,10.165.0.161,239.5.17.31
VH1HD,10.165.0.105,239.5.16.218
UNIHD,10.165.0.191,239.5.4.32
VELHD,10.165.0.105,239.5.4.72
USAHD,10.165.0.105,239.5.16.222
UHD,10.165.0.103,239.5.4.67
TRVLH,10.165.0.101,239.5.16.191
UNDHD,10.165.0.103,239.5.17.92
TVLDH,10.165.0.103,239.5.17.75
TOONH,10.165.0.101,239.5.16.241
truHD,10.165.0.101,239.5.16.240
TNTHD,10.165.0.99,239.5.16.183
TMxwH,10.165.0.99,239.5.4.89
TMCxH,10.165.0.99,239.5.4.88
TLCHD,10.165.0.95,239.5.16.192
TMCwH,10.165.0.97,239.5.4.87
TMCHD,10.165.0.97,239.5.4.66
DAYST,10.165.1.91,239.5.0.142
DECAD-NY,10.165.1.113,232.9.1.16
BBCW,10.165.1.89,239.5.0.135
BETS,10.165.1.109,239.5.16.137
TMAXH,10.165.0.97,239.5.4.82
TCMHD,10.165.0.95,239.5.4.90
ATRES,10.165.1.87,239.5.9.5
TBSHD-LITCH-MILF,10.165.0.93,239.5.16.244
TBSHD-PIKE,10.165.0.95,239.5.16.245
TBSHD-NJS,10.165.0.93,239.5.16.243
TBSHD,10.165.0.93,239.5.16.242
SyfyH,10.165.0.87,239.5.16.224
SUNHD,10.165.0.87,232.9.17.137
STEHD,10.165.0.83,239.5.4.102
STZwH,10.165.0.87,239.5.4.74
STZHD,10.165.0.85,239.5.4.71
STZEH,10.165.0.85,239.5.4.93
STZCH,10.165.0.85,239.5.4.73
STKHD,10.165.0.83,239.5.4.91
SPTH2-LITCH-MILF,10.165.0.83,239.5.17.117
SPTH2,10.165.0.81,239.5.17.60
SPTH1-LITCH,10.165.0.79,239.5.17.130
SPTH2-HAMIL,10.165.0.81,239.5.17.132
SPTH1,10.165.0.81,239.5.17.28
SPT9H-NJS,10.165.0.159,239.5.8.199
SPT9H,10.165.0.159,239.5.8.189
SPT8H-NJS,10.165.0.157,239.5.8.198
SPT8H,10.165.0.157,239.5.8.188
SPT7H-NJS,10.165.0.157,239.5.8.197
SPT6H,10.165.0.155,239.5.8.186
SPT7H,10.165.0.155,239.5.8.187
SPT6H-NJS,10.165.0.155,239.5.8.196
SPT5H-NJS,10.165.0.153,239.5.8.195
SPT5H,10.165.0.153,239.5.8.185
SPT4H-NJS,10.165.0.153,239.5.8.194
SPT4H,10.165.0.151,239.5.8.184
SPT3H-NJS,10.165.0.151,239.5.8.193
SPT2H,10.165.0.149,239.5.8.182
SPT3H,10.165.0.151,239.5.8.183
SPT2H-NJS,10.165.0.149,239.5.8.192
SPT1H-NJS,10.165.0.149,239.5.8.191
SPT1H,10.165.0.147,239.5.8.181
SPKHD,10.165.0.79,239.5.16.195
SP9HD-NJS,10.165.0.147,239.5.8.169
SP8HD-NJS,10.165.0.145,239.5.8.168
SP8HD-CTNORTH,10.165.0.143,239.5.8.178
SP9HD,10.165.0.147,239.5.8.139
SP9HD-CTNORTH,10.165.0.145,239.5.8.179
SP8HD,10.165.0.145,239.5.8.138
SP7HD-NJS,10.165.0.143,239.5.8.167
SP7HD,10.165.0.143,239.5.8.137
SP7HD-CTNORTH,10.165.0.141,239.5.8.177
SP6HD-NJS,10.165.0.141,239.5.8.166
SP6HD,10.165.0.141,239.5.8.136
SP6HD-CTNORTH,10.165.0.139,239.5.8.176
SP5HD-NJS,10.165.0.139,239.5.8.165
SP4HD-NJS,10.165.0.137,239.5.8.164
SP5HD,10.165.0.139,239.5.8.135
SP4HD-CTNORTH,10.165.0.131,239.5.8.174
SP3HD-NJS,10.165.0.131,239.5.8.163
SP5HD-CTNORTH,10.165.0.137,239.5.8.175
SP4HD,10.165.0.137,239.5.8.134
SP3HD-CTNORTH,10.165.0.129,239.5.8.173
SP3HD,10.165.0.131,239.5.8.133
SP1HD-NJS,10.165.0.127,239.5.8.161
SP2HD,10.165.0.129,239.5.8.132
SP2HD-NJS,10.165.0.129,239.5.8.162
SP2HD-CTNORTH,10.165.0.127,239.5.8.172
SP1HD-CTNORTH,10.165.0.125,239.5.8.171
SP1HD,10.165.0.127,239.5.8.131
SNYHD-FFLD,10.165.0.77,239.5.17.57
SNYHD-LITCH-MILF,10.165.0.79,239.5.17.56
SHOXH,10.165.0.75,239.5.4.84
SNYHD,10.165.0.77,239.5.16.180
SMTHD,10.165.0.77,239.5.8.115
SHOwH,10.165.0.75,239.5.4.86
SHOHD,10.165.0.75,239.5.4.69
SHO2H,10.165.0.73,239.5.4.100
SHOCH,10.165.0.73,239.5.4.97
SH2wH,10.165.0.71,239.5.4.83
SCIHD,10.165.0.71,239.5.16.214
SHCwH,10.165.0.73,239.5.4.85
REELH-2,10.165.0.71,239.5.17.108
RDZHD,10.165.0.69,239.5.17.89
PALHD,10.165.0.67,239.5.16.232
QVCHD,10.165.0.69,239.5.4.106
PVIHD,10.165.0.189,239.5.4.58
POPHD,10.165.0.69,232.9.17.141
OPTHD,10.165.0.65,239.5.17.25
OXYGH,10.165.0.67,239.5.17.113
OWNHD,10.165.0.67,239.5.17.29
OUTHD,10.165.0.65,239.5.16.237
OMAXH,10.165.0.65,239.5.4.94
NYCHD,10.165.0.189,239.5.4.60
NJTVH-RAW,10.165.0.211,232.9.4.117
NJTVH,10.165.0.189,232.9.4.117
NGCHD,10.165.0.63,239.5.16.188
NICHD,10.165.0.63,239.5.16.194
NHLHD,10.165.0.63,239.5.8.95
NFLHD,10.165.0.61,239.5.17.87
NFLHD-NJS,10.165.0.61,239.5.17.110
NFLHD-CTNORTH,10.165.0.61,239.5.17.112
NESNH,10.165.0.125,239.5.17.11
NBCHD-RAW,10.165.0.209,239.5.4.7
NBCHD-SPLIT,10.165.0.211,239.5.4.7
NBCSH,10.165.0.59,239.5.16.187
NBAHD,10.165.0.59,239.5.16.234
NBCHD,10.165.0.187,239.5.4.7
NBAHD-PHILLY,10.165.0.109,239.5.17.69
N12LH-WEST,10.165.0.219,239.5.17.2
N12CH-EAST,10.165.0.217,239.5.16.252
N12LH-EAST,10.165.0.219,239.5.17.1
My17H,10.165.0.185,239.5.4.57
N12CH-WEST,10.165.0.219,239.5.16.253
My9HD-RAW,10.165.0.209,239.5.4.14
My9HD-BOSTON,10.165.0.187,239.5.4.44
MTVHD,10.165.0.57,239.5.16.219
My9HD,10.165.0.187,239.5.4.14
MTV2H,10.165.0.57,239.5.17.79
MSGHD,10.165.0.55,239.5.16.177
MOVMH,10.165.0.55,239.5.4.81
MSG-PLUS-H,10.165.0.55,239.5.16.175
MMAXH,10.165.0.53,239.5.4.104
MNBCH,10.165.0.53,239.5.16.239
